act	catch
compellor	get
compellor	think
compulsions	committed
compulsions	held
compulsions	released
day	give
desk	seated
door	opened
drug	helped
drug	woke
entrance	brought
excellency	waiting
expression	's
eyes	stared
flight	forgiven
flight	left
founders	kept
head	shook
hours	settled
imperials	develop
irritation	intrigued
kitten	seem
kitten	studying
lackey	expect
lips	rubbed
list	're
luggage	helped
luggage	take
majesty	ordered
mind	touched
moment	like
moment	thought
needleprick	startled
needleprick	turned
office	showed
office	waiting
palace	taken
parade-rest	left
patron	considering
permission	give
person	's
person	committed
person	pointed
piety	called
priest	depend
reporter	carry
reporter	entered
resources	wasting
rest	take
right	find
ruler	attack
scar	rubbed
seconds	collapsed
seconds	promised
seconds	take
servants	approached
servants	take
services	attend
shot	gave
sins	committed
staff	bet
staff	think
studies	give
studies	help
studies	helping
surface	scratching
team	meeting
temples	rubbed
time	give
validity	depend
way	come
way	go
wednesday	ordered
woman	wore
ankle	touching
attention	paid
captain	assume
captain	chew
captain	waking
children	expected
children	munching
children	want
circumstances	given
company	know
conditioning	break
conditioning	make
cookies	munching
culprit	pick
darling	's
debt	owe
earlobe	nibbling
ears	rubbed
excellency	got
explorations	recall
floor	put
friend	bring
function	accept
future	know
impression	given
lap	hopped
lap	occupied
lover	thought
man	accepting
minute	got
name	thinking
nudity	make
nudity	reacts
opinion	biased
opinion	find
parts	anticipated
parts	helped
place	accept
place	brief
pocket	dug
purr	smiling
reporter	give
reporter	studied
reports	promise
revelations	delivered
revelations	taken
right	go
rise	heard
rite	conducting
services	holding
shoulder	jumped
staff	opposing
stay	enjoy
table	looked
team	goes
things	conceal
things	make
touch	troubled
training	helped
training	lessen
treat	eating
years	thought
air	drew
appearance	pray
approval	does
approval	think
area	holding
area	taken
attitude	thought
baby	has
battlefield	circled
battlefield	took
blessing	appreciate
bullet	pocks
captain	thank
casualties	taking
conclusion	come
convenience	join
convent	showed
copter	lifted
criminals	confined
days	remain
demonstration	tormented
deployment	visualize
evening	found
evening	visit
excellency	does
excellency	permitted
expertise	appreciate
expression	smoothed
fief	picked
field	get
frustration	helped
hand	drew
hat	holding
helicopter	exiting
incarnation	expect
intervention	thank
lodge	go
lodge	visit
look	took
majesty	does
majesty	forbidden
majesty	knew
majesty	ordered
majesty	picked
mansion	make
mass	saying
may	see
minutes	finding
moment	please
officer	looked
order	's
palace	make
pen	holding
people	'd
perspective	took
pilot	circled
place	hate
position	given
problems	present
questions	answer
radio	listen
reminder	frowned
report	give
respect	given
salute	bowed
salute	returned
second-in-command	bother
side	hit
sin	disobeying
sisters	guide
speculation	heard
statements	puzzled
subject	changed
symbol	drew
sympathy	feeling
thing	going
thing	helped
thought	sound
time	has
time	helped
time	promised
tiny	get
transmissions	showed
truthsense	let
units	calling
veteran	being
veteran	pose
warning	called
work	does
aspect	told
attitude	live
breath	let
breath	took
brother	'm
brother	think
buildings	fixing
captain	please
care	working
cartridge	want
ceremonies	know
chance	take
circumstances	seen
crime	committed
daughter	rescue
evaluation	continued
excellency	brief
excellency	carry
excellency	has
expression	broke
expression	frightened
eyes	told
face	disturbed
families	confirmed
families	rescued
farmer	'm
farmer	helped
farmer	take
father	appreciate
fear	seemed
feet	raised
girl	kidnapped
group	joined
head	bowing
head	shook
herald	believed
herald	wanted
horror-raids	help
lady	thank
lodge	taken
man	working
mark	wears
minutes	learn
moments	brought
object	being
object	deny
originals	put
outsiders	forcing
pairs	working
pen	approaching
pen	face
pen	holding
phrasing	ask
pleasure	replied
pocket	dug
priest	're
priest	does
priest	mean
priest-captain	confessed
prisoner	brought
prisoner	signalled
prisoners	evaluate
problems	talking
puzzlement	turned
questions	take
respects	knew
respects	pay
shoulders	slumped
surprise	realizing
time	frowned
triune	intended
triune	take
troopers	brought
truth	telling
wife	kill
wife	killed
action	briefed
attention	turned
backing	working
bitch	remember
blessing	going
captain	damaged
captain	inform
captain	interfere
captain	like
captain	love
custody	's
face	burned
families	backing
family	being
family	seeing
favor	find
feelings	crystallize
field	calls
god	drive
god	drove
god	love
groups	know
groups	written
guards	brought
hand	reached
historian	got
information	get
interviews	get
investigators	know
job	interfere
life	saving
lip	curled
lip	remember
lodge	joined
lodge	turn
look	appraising
look	gave
look	turned
majesties	agree
massacre	helping
massacre	taking
mind	burned
moment	doubt
moment	enjoy
notches	gone
number	explain
opposite	seems
others	edited
others	written
people	choose
publisher	're
publisher	believe
publisher	got
reporters	briefed
representative	broken
representative	sealed
request	allowed
request	give
result	leave
results	enjoy
return	joined
revenge	interfere
revolution	get
separation	continued
sin	serve
slouch	'm
slouch	find
slouch	use
souls	wanted
stage	promised
stories	filed
stories	written
subject	go
subjects	use
team	joined
team	took
techniques	find
theory	contradict
theory	felt
things	inflict
thought	frowned
threats	realized
time	felt
time	find
time	get
time	give
time	got
tormentor	continued
tormentor	remained
torturers	confront
training	need
trooper	die
voice	interrupted
way	believe
way	reminds
writer	given
years	felt
afternoon	happened
altar	chose
challenge	appreciate
collars	pointed
common-room	rejoined
confessions	heard
description	felt
direction	bowed
efforts	appreciate
emblem	design
emblem	wearing
family	's
farm-folk	happened
friends	given
god	need
guests	arrived
hand	pleased
help	moving
highnesses	agreed
history	include
identification	deny
insignia	pointed
jurisdiction	limited
liturgist	comes
lovemaking	remembered
men	bowed
mistress	being
mistress	given
mood	lightening
move	preparing
night	dreamed
night	spend
odd	seemed
orders	give
punishers	satisfying
shoulders	moved
situations	gotten
stories	filed
subordinate	claims
subordinate	give
support	need
sword	make
sword	wear
thing	pull
time	know
time	pass
time	see
time	started
today	questioning
way	put
week	go
work	include
ability	developing
archduchy	bothered
archduchy	carry
archduchy	inflict
archduchy	looking
archduchy	maim
archduchy	mulled
archduchy	planned
archduchy	sensed
areas	selecting
brother	deserved
brother	intended
brother	planned
call	feel
call	feels
contents	studying
convent	front-paged
convent	wanted
courts	gave
crimes	deserved
death	give
defense	front-paged
evaluation	begin
evaluation	finished
evening	joined
expression	see
families	reverse
families	stop
father	claimed
grin	managed
head	gone
head	shook
help	knowing
help	mean
historian	deserves
historian	finish
historian	gave
historian	give
historian	giving
historian	looked
historian	pray
historian	repents
historian	survive
history	take
hostages	find
hypothesis	seemed
hypothesis	supported
injection	fight
intention	dedicate
justice	carry
knuckles	rubbing
man	shook
moment	thought
nod	got
objection	see
observer	fight
observer	prefers
observer	save
opportunity	seem
opportunity	take
paper	put
people	's
pope	approached
pope	see
priests	ordain
prisoner	holding
prisoner	securing
punishment	deserved
purgatory	finish
purpose	serve
question	giving
question	thought
questions	asking
reactions	tell
reporter	looked
reporter	managing
reporter	turned
reports	picked
reputation	maintained
screams	hear
sealings	commented
separation	regretted
service	dedicate
session	see
source	informed
speaker	leaving
speaker	mute
speaker	turned
spring	moved
subject	returned
subject	work
surprise	fight
syringe	filled
techniques	use
thing	run
time	protected
type	needed
type	thought
unfortunate	protected
unfortunate	stands
vial	removed
victims	gave
victims	protect
way	's
way	feel
winter	moved
words	gave
words	implied
work	giving
writer	relieved
writer	thought
alliance	accepted
alliance	seal
attention	turned
beating	save
bitch	go
brotherhood	disbanded
brotherhood	recommended
cassock	looked
chairs	pulled
children	finished
children	waited
church	return
circle	pulled
colonel	hoping
common-room	're
common-room	set
communication	told
contact	broke
coverall	peeled
discussion	continue
door	closed
dungeon	entering
ends	using
evidence	accept
excellency	take
faces	match
failure	die
families	support
family	expected
family	got
family	pulled
family	reunited
family	seated
family	showered
family	spent
fanfare	occupied
feeling	ignore
floor	gone
funk	go
god	turn
hand	using
hands	held
head	paused
head	shaking
heaven	torment
hell	died
hell	wished
hell-king	turned
hours	manage
interests	coincides
interests	seem
interrogation	broke
lips	read
man	looked
man	mouthed
man	offer
man	see
man	stiffened
matter	finish
meeting	accepted
meeting	prefer
members	repent
members	return
men	lead
men	wish
minutes	spent
moment	broke
moment	suffice
mouth	rubbed
mouth	sounds
name	mouthing
news	see
observation	sensed
office	join
personas	ordered
pope	held
prelude	torment
protector	died
protector	promoting
protector	sealed
punishment	using
reason	watching
refreshments	set
repentance	obtain
repents	pleased
ruse	've
ruse	assured
ruse	believe
ruse	estimate
scar	rubbed
servants	're
servants	get
servants	left
servants	seated
sins	repent
speaker	sent
speaker	tell
speaker	told
speaker	using
spot	occupied
subject	died
subject	get
subject	known
subject	ordered
subject	punished
subject	take
support	count
terrorists	becoming
acting	tell
acting	telling
affairs	interfere
attention	turned
bathrobe	put
body	provide
brotherhood	ordered
brotherhood	outlived
butler	left
captain	expect
captain	tell
case	focused
case	generate
constraints	operate
crew	believed
crew	knew
disappearance	prefer
door	knock
door	open
excellency	knock
fairness	question
families	supporting
head	concentrated
head	shook
husbands	're
husbands	's
husbands	scare
identity	considering
intentions	add
kingdoms	include
man	believed
man	called
man	says
man	studying
man	think
mass	assisted
mass	claimed
mass	saying
minute	believe
monday	got
monday	let
one	come
options	prefer
pillow	let
pleasure	got
policy	stretch
pope	allowed
pope	appears
pope	gave
pope	operate
pope	turned
position	see
powers	operate
prisoner	wait
prisoners	brought
prisoners	interrogate
question	answer
reason	gives
reason	point
reason	scare
reasons	gives
repentance	believe
repentance	has
repentance	include
rule	live
scrutiny	add
scrutiny	returned
scrutiny	take
seconds	paused
smile	gave
thing	believed
thought	sent
usefulness	outlived
victim	give
way	change
ways	set
wisdom	question
yesterday	believed
yesterday	called
antennas	destroy
antennas	transmitting
attention	turned
boots	feel
boots	wearing
breath	caught
butler	speak
carpet	feel
changes	causing
co-husband	turned
colonel	want
common-room	entering
conversation	carry
couple	heard
enemy	join
faces	make
floor	let
fur	stroking
guest	heading
guests	gets
handcuffs	remove
head	shook
information	need
issue	agree
khaki	working
leaders	petitioned
majesty	says
marines	transferred
meantime	assume
men	brought
men	handcuffed
men	stay
message	send
message	sent
moment	studied
name	remember
non-humans	's
non-humans	accepted
non-humans	kept
non-humans	petitioned
non-humans	took
objection	beginning
objection	help
objection	hurt
objection	notice
office	left
office	working
one	studying
people	talk
position	take
prisoners	left
questions	give
rank	goes
rebellion	reported
seconds	brought
ships	coming
ships	held
showing	make
surroundings	relaxed
tangerine	warn
target	'm
target	go
team	addressing
team	brought
team	left
title	use
tone	amused
tone	smiling
trooper	left
troopers	caught
troopers	destroy
troopers	replacing
troopers	turned
truthsense	reckoning
views	condemned
war	ended
war	give
woman	smiled
worlds	integrating
worlds	looking
absorption	ease
abstraction	broke
amusement	looked
announcement	make
arrival	means
assistance	call
attention	turned
behalf	intervene
breath	released
breath	took
cats	got
cats	like
cats	sounds
caveat	forget
chair	pulled
citizens	're
citizens	interrupted
citizens	think
colonel	coming
colonel	please
consequences	happen
conversation	recapped
couch	gestured
damage	mitigate
door	led
event	honored
family	save
fireplace	gestured
frequencies	transmitting
grounds	fit
head	inclined
hope	growing
hope	seeing
idea	agree
idea	sending
intercepts	recognized
introduction	repeated
laws	based
lot	coming
man	help
man	transferred
message	given
message	got
moment	answer
moment	gaped
moment	mean
moment	stood
number	dialing
nun	believe
nun	replied
operator	show
opportunity	jumped
palace	call
position	determining
prisoners	're
request	sending
screen	cleared
screen	guarantee
screen	lit
screen	means
seat	have
seat	returned
seconds	blanked
seconds	cleared
ship	's
ship	brought
ship	fit
space	intruded
spaceport	's
table	held
table	led
telephone	held
though	felt
though	mitigate
voice	broke
weaponry	showed
woman	led
ally	'm
announcement	makes
arm	put
assignment	ask
assistance	appreciate
bathroom	's
bathroom	asked
bathrooms	call
bishop	call
bow	gave
choice	go
circumstances	like
colonel	call
colonel	meet
commander	call
commendation	get
cooperation	's
culture	working
data	get
delay	hope
empire	bring
empire	flee
entrance	led
estate	fit
excellency	agreed
experience	says
feeling	hinder
founders	caused
guest	studied
guest	think
head	shook
help	like
hole	filling
hole	leave
hunches	argue
hunches	following
idea	strike
judgement	hinder
king	called
kingdoms	survive
liaison	acting
liaison	mean
marines	supplement
mind	change
mind	report
name	use
negotiations	hinder
negotiations	strike
offer	thank
operations	call
prisoners	gave
prisoners	tell
problem	survive
problems	reduce
protector	called
ranger	dealt
ranger	meeting
ship	bring
side	're
side	am
society	survive
subject	's
subject	go
subject	relieve
subject	think
suspense	get
tour	taking
transition	aiding
treatments	looked
troops	supplement
ultrawave	go
ultrawave	spoken
voice	concerned
warship	captured
analysis	gotten
armory	let
attentions	intensify
blaster	use
bridge	connect
bullets	stun
captain	glanced
captain	mind
captain	wish
chances	take
columbus	living
commander	connect
commander	told
complaint	's
controls	explain
details	guess
dispensation	plague
duties	return
effect	seem
estate	gave
excellency	going
excellency	know
excellency	like
excellency	thank
expression	horrified
fall	injures
function	demonstrated
grass	settling
grass	stop
groundskeepers	get
guest	like
guest	require
hatch	grinned
hatch	invite
hatch	opened
hour	replied
house	stay
intentions	include
joyhouses	plague
joyhouses	stop
joyhouses	tell
joyhouses	working
liaison	appoint
majesty	does
move	gave
news	gotten
notice	lift
odds	improve
offers	accepting
ones	happen
orders	gave
pain	cause
people	accepting
people	armed
people	attacked
people	find
people	know
people	learn
people	let
people	shoot
phone	turned
power	move
record	look
regulations	forbid
request	gather
res	pays
satyr	care
satyr	plague
satyr	tell
satyr	think
schedule	keep
scouts	stay
spacecraft	descend
spacecraft	seem
spaceport	dialed
standing	improve
story	appreciate
story	recommend
superiors	like
superiors	require
target	injuring
time	need
time	permits
time	thank
times	mentioned
transfer	logged
unconsciousness	causes
unconsciousness	eliminate
volunteer	need
woman	smiled
airlock	got
amusement	told
announcement	make
announcement	put
bit	told
books	talk
capacity	being
capacity	increased
capacity	told
carrier	're
case	mind
challenge	want
chickenpox	plague
choice	given
circumstances	think
colonel	give
colonel	mind
cure	want
data	get
day	showed
disease	know
doctor	give
doctor	keep
doctor	told
doctor	tried
doctor	wait
doctors	feel
doctors	learning
doctors	taking
duty	change
easy	remedy
equipment	gestured
eyebrow	raised
gangplank	followed
guard	doubt
guard	make
guard	permitting
guard	saluted
guard	show
guard	turned
guest	know
guest	owe
guest	smiled
guest	warn
hatch	saluted
hours	expected
imperials	learn
imperials	suppose
individual	seen
information	give
kingdoms	knew
level	keep
life	owe
lodge	know
lodge	make
lodge	put
lodge	think
medicine	manage
medicine	trained
month	'm
month	waivered
name	looked
office	get
officer	sending
part	thought
people	feel
people	let
permission	come
presence	react
priority	make
procedures	make
question	plague
records	give
records	go
results	give
results	keep
salute	returned
sample	's
sample	give
sample	recognize
satyr	plague
satyr	shook
sidearm	leave
sir	granted
studies	make
subject	dropped
tapes	teaching
tea	sipped
thing	heard
thing	know
trigger	pulled
urge	got
vehicle	believed
verdict	's
voice	broke
woman	returned
women	affects
alphabet	transcribe
ancestors	refused
attention	requesting
book	are
book	looked
cabin	go
captain	monitor
captain	thought
chair	pulling
chance	get
changes	cause
coding	specify
computer	talking
courtesy	thank
cultures	maintain
day	take
differences	involving
door	opened
door	put
empire	's
empire	adding
empire	bring
empire	fled
empire	join
empire	studying
experience	repeat
families	causing
hand	put
head	'm
head	shaking
idea	suggest
incredulity	chuckled
informant	making
informant	studying
information	classified
information	get
intelligence	classified
items	manufacture
level	bring
materials	reconstituted
microsecond	wiped
monsters	told
monsters	worry
name	stuck
offense	intended
ones	need
pattern	recorded
pattern	scanned
people	use
physics	know
place	start
plate	put
position	're
printouts	take
reason	thinks
right	get
science	impose
scout	study
seat	have
situations	monitor
smile	stood
sorry	classified
sorry	means
tape	taking
tapes	's
tapes	called
tapes	stuck
tapes	teaching
temples	go
thing	see
time	quote
touch	controls
upheaval	causing
while	take
writer	gotten
writer	quote
writer	studied
adults	hear
answers	require
arrival	seemed
aspect	felt
bodyguard	emerged
bodyguard	need
branch	called
brotherhood	leave
changes	implementing
changes	suggested
children	want
chin	cut
church	starting
circumstances	scanned
colony	lost
commander	built
common-room	named
common-room	wanted
crew	got
cult	branded
cultures	know
customs	go
dismay	attracted
disrespect	intend
evening	described
evening	joining
evidence	warrants
eye	keep
father	calling
followers	heard
followers	persuaded
friends	make
friends	seem
god	called
group	branded
group	excommunicated
group	left
group	scorned
hospitality	appreciate
innocence	protest
inquisitors	proven
insigne	go
interrogation	conducted
introductions	exchanged
lander	emerged
lander	staying
lieutenant	prefer
life	saving
lodge	entered
matter	disturbs
mind-probe	like
mind-probe	require
mind-shield	using
names	considered
notoriety	got
officers	reminded
one	cared
one	fighting
ones	discovered
ones	sent
opportunity	look
outsiders	allowed
outsiders	encouraged
outsiders	scorned
persecution	flee
persecution	permitted
piety	known
place	take
point	began
portion	using
potential	thought
potential	using
pretenses	sent
priest	's
priest	admitted
priest	assigned
priest	began
priest	being
priest	gained
priest	hear
priest	persuaded
priest	seemed
prisoner	explained
prisoner	freed
prisoner	given
prisoner	leave
prisoners	question
prisoners	turn
probe	mean
probe	require
probe	waiting
protector	called
pseudo-virus	tampering
reactions	find
reactions	get
reason	pinpoint
records	put
records	seem
satan	allowed
satan	attracted
satan	called
satan	released
satyr	plague
secretary	acts
shelter	staying
ship	entered
ships	fleeing
silence	mean
silence	turn
silence	using
sis	known
sis	named
sis	wanted
specialty	rated
talent	mention
talent	reveal
time	gets
time	sense
time	spent
traiti	build
traiti	got
uniform	wearing
variant	keeping
visitors	introduced
war	destroyed
weight-lifter	looking
whole	remain
wife	added
anger	hide
attention	turned
basics	know
bit	fades
bitch	care
book	reading
chair	help
chuckle	managed
colleagues	led
colleagues	ushering
confession	help
crimes	committed
debt	deserve
debt	owe
details	know
details	need
door	unlocked
emergency	's
entrance	led
entrance	take
evening	sitting
excellency	honored
excuse	find
execution	postpone
eyes	closed
eyes	opened
family	killed
family	knew
family	sitting
feelings	share
god	bless
god	given
god	has
guests	give
guilt	wonder
hours	take
information	pick
injustice	corrected
interrogation	's
interrogation	kill
judge	sentenced
judge	took
kinks	ease
left	turned
level	paused
man	calm
man	nodded
man	terrified
man	turned
memories	trigger
men	broke
mind	read
minds	read
minds	reading
moments	returning
objective	accomplish
offer	save
ones	break
ones	get
ones	live
passage	unlocked
people	turned
pleasure	settled
pleasure	think
pleasure	told
prerogatives	used
prisoner	ask
prisoner	concentrating
prisoner	facing
prisoner	flanked
prisoner	held
prisoner	turned
responses	insure
rest	know
room	hanging
seconds	sat
set	found
sides	turned
sorry	occur
surface	scan
suspicions	prove
talent	disregard
thought	held
thought	sent
threat	're
threat	learn
threat	use
time	save
tongue	cut
tongue	look
troopers	took
truthsense	accept
truthsense	agreed
truthsense	making
truthsense	take
truthsense	turned
uniform	appear
way	's
work	finish
afternoon	join
arrangements	go
baggage	bring
bodyguards	arranged
boots	polished
circumstances	depends
citizens	get
comm	implant
communion	feel
communion	like
criminals	torture
culture	given
dispensation	share
doctors	trained
duty	interfere
effect	has
effectiveness	lessen
execution	observe
expert	're
expert	like
expert	stay
expression	inquiring
facilities	treated
field	go
grin	hid
grin	returned
head	shook
hours	take
hug	greeted
inquisitor	surprised
lander	go
laws	deserve
lodge	leave
lot	deserve
lot	know
man	executing
mind-touch	felt
morning	work
need	think
office	accompany
ones	's
ones	enjoying
ones	leave
orders	depends
orders	gave
orders	taken
orders	took
pajamas	equipped
practicalities	returned
prisoner	helped
prisoner	learned
procedures	trained
ranger	turned
rebels	got
rebels	rescued
regrowth	takes
robes	equipped
servant	bring
servants	appreciate
ship	answered
ship	communicate
ship	contact
ship	monitor
smile	shook
stay	have
subject	change
suggestion	put
suite	left
target	helped
target	learned
throat	touched
time	checked
toiletries	equipped
traiti	learned
troopers	go
troopers	got
underwear	folded
uniform	hanging
way	helped
witnesses	use
yesterday	napping
appearance	get
approach	making
attention	turning
bit	observe
bodies	found
chair	settled
children	confirmed
children	got
children	having
children	like
choice	calling
choice	given
choice	resulted
chrono	checked
chuckle	confirmed
citizens	used
couch	lie
crash	expecting
crime	fit
criminals	's
debrief	probing
door	knocked
empire	includes
empire	join
empire	try
examination	reacts
families	attacked
family	allowed
feelings	trust
grin	hid
half	stretch
halt	called
hand	paused
hours	delay
idea	seem
interview	relaxed
knob	paused
landing	calling
marines	enlisted
meter	stopped
minutes	meet
moment	thought
moments	opened
non-humans	meet
ones	getting
originals	happened
pictures	circulated
preparation	giving
punishment	concerned
punishment	fit
ranger	bringing
ranger	delay
ranger	paused
ranger	preparing
right	start
salute	returned
sergeant	smiled
side	observe
sirs	worry
spectators	drew
spectators	see
spectators	thought
spectators	warn
subject	're
sunday	miss
sunday	see
survivors	watched
talent	called
team	saluted
team	stopped
teeth	exposing
throat	touched
time	display
wife	looked
women	bowed
adversary	edit
background	go
brotherhood	concerned
comm	implant
common-room	going
concept	insists
contact	broke
custom	entitles
days	arrive
decision	determine
decision	makes
demons	include
devil	cooperated
dungeon	left
enemy	got
english	transcribed
evening	spoil
example	want
experts	knows
experts	tattooing
extremes	going
favor	influence
favor	serve
feeling	go
feeling	subsided
feelings	sensing
floor	got
form	sent
freedom	allowed
head	cocked
head	shook
identity	knowing
invasion	hinged
invasion	included
invasion	report
majesty	tell
man	hinged
man	sworn
mind	understand
mind-set	give
moment	thought
negotiations	took
negotiations	want
oath	accepted
pain	producing
people	call
prisoner	finished
problem	seemed
questions	answers
rapist	's
rapist	geld
rapist	include
revelations	prevent
robe	put
room	left
room	sitting
satan	're
satan	call
satan	got
satan	reminded
sex	forbidden
ship	's
ship	need
ship	replied
sort	corrected
sort	expect
team	spoke
thoughts	know
throat	touched
tonight	think
universe	affect
universe	going
angel	embodied
angel	transformed
beings	intercede
bible	corrected
bible	says
bit	like
branch	seems
burden	take
coffee	want
cup	avoid
cup	staring
door	knock
faith	share
feelings	hiding
founders	belonged
founders	given
founders	recorded
frown	grew
guess	make
kingdom	promised
kingdom	start
laugh	snorted
material	grant
mind	ease
miracle	work
miracle	works
months	told
needs	changing
needs	reflect
omnists	see
outlook	given
people	keeping
permission	ask
place	take
point	start
priest	're
problem	tell
reason	given
reason	recorded
religions	gives
saints	work
satan	calls
score	ease
secrets	keeping
service	conducting
ship	make
smile	managed
tattoo	given
tea	make
tea	seems
time	's
universe	know
view	tend
viewpoint	handle
way	function
way	know
way	studied
word	take
ability	given
answer	get
answer	give
answers	like
arrangements	make
baby	acting
baby	inherit
betrayal	tearing
case	change
case	going
changes	agree
changes	make
concern	ease
creator	's
creator	accepted
creator	carry
creator	thinking
creator	thinks
decision	reaching
difference	's
duke	makes
faith	needed
family	gave
family	has
family	leave
family	mention
feeling	's
feeling	hate
feelings	take
fleets	command
functions	accepted
functions	carry
functions	has
grin	managed
hands	burned
head	shook
heir	'm
heir	being
heir	exert
heir	got
heir	makes
heir	named
heir	survived
heir	taken
help	asked
helper	gives
helper	need
individual	take
information	include
job	deny
job	give
life	spent
moment	feel
moment	thought
morning	waiting
opinion	's
orders	gave
people	ask
people	know
people	leaving
people	like
people	love
people	protect
people	staying
point	feeling
position	accepted
problem	work
questions	ask
response	deserve
seconds	studied
shading	get
ship	change
situations	get
spot	hit
spot	know
standards	lowering
step	take
subject	get
symbol	started
systems	leave
teachings	read
things	lighten
throat	touched
version	give
vision	appeared
way	tricked
weeks	thinking
work	take
world	retire
year	survived
abilities	want
additions	going
adjustments	make
allergy	removing
anti-agathics	go
anti-agathics	need
approval	felt
armchair	sat
body	removed
brotherhood	protect
brotherhood	see
chair	find
change	chosen
changes	activate
changes	bring
changes	make
children	knew
citizens	help
clock	maintain
clock	reset
day	celebrate
decision	act
decision	wait
detachment	leave
doctrines	studying
expressions	told
face	ran
fact	accept
fact	facing
fact	mean
fact	put
goodbyes	ask
goodbyes	finished
group	joined
hands	look
hands	looked
help	giving
help	needed
help	needing
hours	spent
identity	tell
impartiality	affect
intelligence	doubled
job	turn
judgement	trust
lot	eat
manner	selected
mass	celebrate
mass	get
mass	saying
materials	delivered
names	used
needs	learning
needs	needed
night	seen
ones	changed
ones	given
ones	read
orders	giving
pain	regretted
place	take
plate	filling
pocket	put
point	bring
point	got
powers	extend
powers	told
priest	'm
priest	grinned
priest	prohibiting
protector	differed
protector	limited
protector	make
protector	need
protector	sitting
protector	stood
protector	thank
protector	turned
rate	has
seconds	shake
self	bring
smile	return
spouses	embracing
spouses	giving
surgery	changed
surgery	submit
surprise	sitting
tears	ran
things	needed
triangles	circled
while	's
while	pays
abilities	given
advice	ask
advice	give
advice	want
allergy	removed
answers	like
arms	dropped
arms	work
assignment	comes
assignment	make
background	's
background	sent
beginning	warned
beliefs	impose
bonuses	accomplished
break	make
case	answer
casualties	accomplished
changes	making
colleague	turned
common-room	crying
common-room	followed
common-room	returned
consciousness	returned
consequences	face
contact	strengthened
desk	using
detachment	told
doctrine	violate
functions	exercising
gesture	returned
god	bless
hand	raised
head	shook
hour	going
individual	gave
job	putting
lot	cram
lot	learning
majesty	contact
majesty	introduce
mind-touch	feel
moment	studied
motives	question
needler	use
night	spoke
night	told
objectives	accomplished
others	impose
people	ask
priest	're
priest	pay
priest	violate
process	inform
purpose	doing
purpose	leading
raid	leading
ranger	being
ranger	getting
ranger	involves
ranger	putting
ranger	qualifying
room	entering
ship	going
smile	sent
subject	change
systems	come
thing	told
thought	answering
time	spend
time	used
understood	's
uniforms	change
warning	give
way	used
weeks	take
yesterday	gave
ability	took
activity	expected
air	sketched
aristocracy	wipe
arms	pinned
attention	caught
attentions	deserves
behalf	use
behavior	controlled
behavior	hurt
brotherhood	promised
brotherhood	suggested
certainty	took
chance	give
change	felt
choice	cooperate
church	wipe
clinic	taken
day	following
day	told
death	cause
desires	coincide
development	involved
discomfort	read
end	accomplishing
enemy	bought
enemy	felt
enemy	give
enemy	managed
enemy	respected
enemy	struggled
enemy	win
entertainment	provide
evening	spent
example	set
existence	tolerate
eyes	widened
face	putting
facilities	attack
feet	lying
fighting	bought
followers	accustomed
followers	bound
foulup	managed
gesture	returned
habit	stripped
hair	get
hand	respected
hands	brought
head	shaking
hours	spent
humans	acknowledged
influence	reduce
justice	brought
legs	forced
life	win
life	winning
maimed	conceded
maimed	crippled
maimed	left
medics	accompanying
membrane	ruptured
memory	sickened
men	enjoying
mission	wounded
moment	call
moment	looked
morality	preserve
name	fumed
name	screamed
operations	carry
operations	going
orders	pass
others	know
others	protect
others	tell
plans	promised
pleasure	deny
points	strike
powers	use
punishments	's
punishments	handling
purposes	serve
purposes	served
question	administer
raid	bears
raiders	take
report	continued
report	told
reports	continued
reprimands	bother
resolve	respected
role	fulfill
role	played
satisfaction	fought
setbacks	expect
sign	sketched
sobs	subsiding
specialty	handling
standards	live
students	brought
studies	excelling
style	seem
suffering	increase
sympathy	control
systems	arrive
targets	pick
terrorists	arrive
terrorists	calling
terrorists	expected
texts	brought
thinking	like
time	take
tomb	returning
universe	invade
violation	take
window	look
woman	continued
woman	excite
word	pass
work	reminded
adversary	left
adversary	tell
adversary	yield
affair	added
aide	needed
aide	set
aide	told
altar	going
altar	turning
apprehension	vanished
attention	returned
attributes	modify
body	left
broadcast	stopped
caresses	continuing
celebrant	being
ceremony	perform
climax	sent
communion	giving
companions	thought
compulsion	working
compulsions	released
conflict	trigger
congregation	waiting
couple	letting
courage	respected
courage	take
curls	tease
days	developed
deity	found
deity	preferred
deity	tempted
deity	thought
demonstration	takes
desire	grow
drives	deny
effort	thought
emotions	broadcasting
emotions	screen
encounter	caused
entry	starting
excitement	get
existence	continued
existence	depend
feelings	isolated
floor	put
guilt	added
hand	running
hours	seem
idea	occurred
information	carried
intentions	break
intentions	knew
interlude	satisfied
invaders	approaching
joy	lost
joy	returning
kiss	stilled
lot	enjoyed
lot	report
lover	believe
lover	chose
lover	cooperate
lover	felt
lover	get
lover	heard
lover	helped
lover	imposed
lover	left
lover	make
lover	obliged
lover	paused
lover	planned
lover	played
lover	resisted
lover	respected
lover	sense
lover	smiled
lover	surprised
lover	teased
lover	think
lover	told
lover	took
lover	want
lover	wanted
lover	writhing
meantime	considered
minutes	leave
moment	reject
moments	took
neck	put
nun	sighed
operation	set
others	sense
pain	compelled
party	report
peonies	surrounded
people	drive
people	urge
piety	liked
piety	revolted
piety	taken
powers	affected
powers	using
prayer	murmured
