act	catch
bitch	tell
bow	returned
break	told
bruise	probed
couple	lying
degree	lost
die	let
difficulty	pose
ear	drove
enemies	pledged
face	make
face	saw
favor	return
genitals	relieve
gentlemen	care
guest	has
guest	keeping
hand	felt
hands	finished
hands	screaming
head	stroking
help	need
horrors	included
information	give
information	want
inquisitors	get
inquisitors	heard
inquisitors	helped
inquisitors	looked
inquisitors	obtain
interrogation	conducted
interrogation	stop
interrogations	taken
knife	drove
knowledge	match
may	going
may	hurried
may	suffer
mistake	return
moment	looked
moment	makes
moment	think
mouth	wiped
nobody	knows
pain	release
pain	take
people	care
plans	know
pleasure	share
questions	answer
reaction	handed
reaction	watched
rebellion	completed
release	give
release	try
results	obtain
results	using
ribs	probed
room	helped
satisfaction	deriving
seconds	surrender
sense	makes
smile	hid
stimuli	give
stomach	churned
stomach	completed
studies	thought
subject	earned
subject	indulge
subject	make
tactic	skinned
tactic	working
task	observing
task	set
technique	avoiding
technique	postponed
thanks	get
thing	know
thing	tellin
time	has
time	noticed
time	postponed
times	lying
tolerances	judge
trooper	having
trooper	know
truth	telling
warrant	covered
washroom	make
wastebasket	holding
watch	looked
way	make
way	put
work	interrupt
air	go
air	shared
anticipation	suffered
arms	needed
awards	decorated
badge	wearing
basis	exercise
bureau	laid
captain	bothers
captain	graying
captain	messed
captain	paused
ceremony	seemed
certificates	decorated
committments	permit
communion	kneeling
confession	began
confession	heard
confession	hold
confessions	hear
conversation	listening
curtains	led
diner	upset
effusiveness	told
effusiveness	welcoming
end	being
end	receiving
example	're
example	get
example	give
example	sanctioned
example	see
favor	return
functions	exercise
future	avoid
gentles	seated
hand	touched
hours	visiting
information	get
inquisitors	join
inquisitors	received
inquisitors	understand
interests	know
interrogations	conducting
introductions	exchanging
isolation	feel
july	wearing
key	chuckled
language	happened
latin	speak
latin	use
leave	take
lieutenant	know
lot	means
mass.	began
men	find
neck	stole
nest	invite
note	found
note	handed
note	read
notes	leave
office	use
order	expected
others	estimated
others	needed
others	spotted
others	think
others	wearing
pain	offering
place	looked
plea	refuse
pleasure	caught
pleasure	celebrating
pocket	tucking
prayers	offering
prey	scenting
problem	correct
profession	give
promise	make
question	answer
responses	taking
results	post
server	act
server	ended
service	decorated
service	finished
setback	suffered
stage	faced
studies	started
subject	get
subjects	becoming
subjects	find
subjects	handled
subjects	help
success	becoming
sunday	heard
thing	hear
things	coming
time	find
time	handle
touch	keep
touch	prides
voice	amplified
voice	called
voice	joined
waiter	approached
waiter	handed
academy	quartered
actions	carry
activities	following
appreciation	extend
bars	gotten
bios	scanning
bonus	get
breakfast	finished
brother	question
cases	coincided
clamor	died
combinations	gave
days	got
dealers	reimburse
debate	decided
debate	gotten
decisions	know
decisions	start
door	opened
ear	missing
ear	murmured
expenses	earn
eyebrow	raised
eyebrow	surprise
gloves	taking
grin	greeted
groups	suppressing
hand	's
hand	got
hand	raised
hand	sounded
hand	sounds
handful	grabbed
hands	lowered
hands	raised
hardship	cause
horses	use
hour	take
idea	give
ideas	give
interrogation	taking
interviews	begin
interviews	set
juice	stand
kingdoms	reimburse
kits	keep
left	approaching
match-ups	confirm
miles	live
minds	thought
missions	neglecting
notebook	took
objections	forestalling
operations	called
others	know
others	let
pair	make
pairs	chosen
pairs	confirmed
people	pay
personnel	cause
personnel	discussing
pocket	put
point	groaned
procedures	follow
procedures	interfere
radios	issued
radios	use
regret	extend
rest	agreed
rest	paired
rule	follow
salute	greeted
smile	lowered
station	live
suits	agreed
suits	knowing
suits	stand
summaries	reading
syndrome	count
systems	go
team-leader	come
team-leader	picked
team-leader	thought
team-ups	see
team-ups	suggested
terror	understand
terror	work
terrorists	disregard
terrorists	eliminate
thing	goes
time	saw
troops	get
troops	gotten
troops	picking
updates	get
variety	thought
volunteers	brought
volunteers	meet
way	respond
week	deploy
week	following
word	murmured
actions	given
afternoon	get
attack	reported
bitch	keeping
bitch	trigger
bonuses	earning
captain	found
captain	identified
captain	identify
captain	know
captain	qualified
chair	gestured
clinic	reported
criminals	hurt
debt	am
description	know
disability	help
disability	know
disability	try
effect	reduce
efforts	increase
enthusiasm	ask
eyes	lit
fact	remained
fact	take
feelings	hurt
holiness	owe
identification	believe
identity	discovered
interview	showed
irritation	hiding
kingdoms	gathered
lieutenant	flushing
lieutenant	get
lieutenant	heard
lieutenant	obeyed
lieutenant	thought
lieutenant	want
lieutenant	wanted
man	attacked
man	did
man	facing
man	seem
medic	finding
men	ask
men	let
mind	brushed
minute	wait
motivations	look
name	fear
name	used
oath	administer
oath	commissioning
offense	intended
offers	accept
one	faulted
one	questioned
ops	qualified
order	transferred
partners	give
people	attract
person	know
power	involved
powers	restrict
powers	using
priests	has
protection	needed
protection	proven
qualifications	sounded
raidmaster	called
raidmaster	reminded
reaction	entered
records	's
records	admitted
records	get
records	known
records	thought
risk	taking
risk	trigger
seat	took
smile	gave
stipulation	're
surge	felt
surge	traced
terrorists	eliminating
timing	bothered
trade	make
troopers	tell
truthsense	believe
truthsense	left
waiver	's
waiver	beat
waiver	gotten
weightlifter	built
witness	get
women	left
ah	does
ah	ma'am
area	getting
areas	're
areas	traveling
assistant	training
attack	left
attention	concentrating
basics	kept
brothers	believe
buttocks	having
buttocks	probing
ceremony	losing
colleagues	inform
concern	appreciate
concern	worry
