enemyâ	receiving
enemyâ	says
enemyâ	spare
enemyâ	turn
energy	preserved
engagement	copied
engagement	opened
engagements	grew
engagements	show
engagements	told
enquirer	present
entirety	preserved
entrenchments	drawing
episodes	cast
epoch	corresponds
epochs	bound
epochs	wore
equipment	added
equipment	lay
erzgebirge	drive
establishment	end
establishment	exceed
evening	ended
evening	fell
evolution	lies
example	dismounted
example	set
excavation	leaping
exception	forms
expedient	found
expedients	devising
expedients	drove
expedients	try
expedients	used
expeditions	engaged
expeditions	exerted
expeditions	plundering
experience	won
experiment	repeated
experiments	led
explanation	need
exploits	accomplished
expression	borrow
extent	adopted
extent	supplanted
facings	displaying
fact	caused
fact	illustrated
fact	induced
fact	pleaded
fact	rests
fact	results
fact	shown
fact	sufficed
fact	turned
facts	show
failure	observing
fall	goes
fall	save
fate	incur
fate	met
fate	resigned
fate	suffered
faults	combines
faults	committed
faults	repair
faults	thrown
fear	knew
feature	fortified
feeling	ensued
feet	projected
fellows	plunging
ferocity	allied
ferry	crossing
fetters	cramping
field	arrive
field	arriving
field	attacked
field	attacking
field	cleared
field	driven
field	drove
field	foreswore
field	leave
field	left
field	put
field	ranged
field	remembered
field	ridden
field	saw
field	took
field	turned
field	win
field	withdrew
fields	asserted
fields	engaged
fields	ploughed
fields	proved
fields	win
fight	continue
fight	employ
fight	heated
fight	led
fight	open
fight	opened
fight	opening
fight	took
fighting	losing
fighting	take
fighting	taken
fighting-array	drawn
files	leading
files	thrust
fire	concentrated
fire	converging
fire	direct
fire	storming
fire-arms	find
firearms	relied
firmness	display
flames	perished
flank	appeared
flank	encircling
flank	exposed
flank	round
flanks	planted
flanks	protect
flanks	protected
flanks	supported
flight	foreseen
foe	faced
foederati	wedged
foeman	appal
foeman	felt
foes	proved
foix	sent
followers	accustomed
followers	enlisted
followers	keep
followers	riding
followers	trampling
foot	added
foot	mentioning
foot	stirring
foot-soldiers	accompanied
foot-soldiers	employed
footmen	attacking
footmen	gave
footmen	saw
footmen	threw
foray	come
forays	checked
forays	conducted
forays	plundering
forays	sailed
forays	supplemented
force	appeared
force	arrayed
force	arrived
force	beginning
force	bore
force	cover
force	dispersed
force	driven
force	fighting
force	fronting
force	introduce
force	invading
force	led
force	left
force	presented
force	sustained
force	want
forces	brought
forces	continued
forces	divided
forces	engaged
forces	framed
forces	inflicted
forces	ingrained
forces	melt
form	existed
form	owe
formation	discarded
formation	employed
formation	throw
formation	used
forms	adding
forte	put
fortifications	drew
fortifications	surround
fortress	called
fortress	covered
fortress	moving
fortresses	attacked
fortresses	blockaded
fortresses	isolated
foundations	shaking
four-fifths	destroyed
francisâ	employed
frank	bore
frank	face
frank	pictured
frank	â
fray	begin
fray	plunge
fray	throw
freedom	won
front	attack
front	bore
front	dashed
front	play
front	pursuing
fyrd	divided
fyrd	hope
fyrd	sealed
gap	left
garrison	hold
garrison	starve
garrison	starving
garrisons	stripped
general	defeated
general	find
general	foreseen
general	has
generals	accepted
generals	placed
generals	sent
generalship	displayed
genius	condescend
genius	showed
gesiths	wore
girdle	â
glance	cast
glarus	drew
goal	reach
god	delights
god	promised
god	sent
goth	carry
goth	found
goths	drove
goths	rolled
goths	swept
goths	threw
government	sent
governors	reducing
great	fought
ground	chosen
ground	covered
ground	heaped
ground	hold
ground	throwing
gunners	drive
guns	marched
guns	set
halberd	contend
halberd	found
halberd	planted
halberd	proved
halberdiers	drawn
halberds	working
halberds	â
half	fought
half-banda	consists
half-banda	posted
half-bandon	attached
half-bandon	called
halves	divided
hammers	â
hand	commenced
hand	deal
hand	engaged
hand	note
hand	sailed
hand-guns	discarding
hand-to-hand	combats
handling	required
hands	find
hats	felt
havoc	worked
head	brought
hedges	crossed
hedges	protected
height	â
herules	removed
hierarchy	established
hill	descend
hill	protected
hills	rushing
hips	reaching
historians	forget
historians	laid
historians	tell
history	described
hl	fought
home	drew
homes	melted
homes	settled
horse	forced
horse	retreated
horse	save
horse-archers	mixed
horse-bowman	copied
horse-bowman	prove
horseman	adopt
horseman	carried
horseman	found
horseman	glorified
horseman	reached
horsemen	abandoned
horsemen	assailed
horsemen	carried
horsemen	comprehended
horsemen	destroyed
horsemen	drew
horsemen	fell
horsemen	know
horsemen	mailed
horsemen	marched
horsemen	obliged
horsemen	posted
horsemen	pursued
horsemen	relied
horsemen	resisting
horsemen	riding
horsemen	supplemented
horsemen	took
horsemen	uniting
horses	left
horses	provided
horses	saw
horses	seizing
horses	send
horses	sent
horses	spur
host	threw
hours	continued
hours	faced
hours	wait
hundreds	posted
hussites	found
hussites	make
hussites	met
hussites	use
idea	possessed
identity	preserved
ignominy	attended
imbecility	gauged
impact	pushed
impetuosity	rushing
impetus	sent
importance	bears
importance	bore
importance	enjoyed
importance	growing
importance	increasing
impulse	turned
incidents	judge
incidents	recorded
infantry	abandoned
infantry	allow
infantry	avoided
infantry	blocked
infantry	choked
infantry	describing
infantry	discarded
infantry	discarding
infantry	divided
infantry	driven
infantry	formed
infantry	hope
infantry	leading
infantry	plays
infantry	provided
infantry	realised
infantry	relegated
infantry	resumed
infantry	retreat
infantry	seen
infantry	sent
infantry	struggled
infantry	surrounded
infantry	survived
infantry	use
inferences	drawing
inferiority	foredoomed
influence	exerted
initiative	assume
insight	give
instance	seen
interest	has
interior	hollowed
intrenchments	driving
invader	annoy
invader	catch
invader	dealing
invader	fight
invader	heard
invader	moved
invaders	knew
invaders	seen
invaders	wait
island	subjected
janissaries	took
javelin	armed
javelins	armed
javelins.â	provided
jealousies	remembered
justinianâ	defeats
key	served
king	aimed
king	contracted
king	determined
king	drawn
king	enabled
king	found
king	held
king	leading
king	living
king	meet
king	paid
king	starved
king	trusted
king	wrote
knees	reaching
knife	bore
knight	bid
knight	carry
knight	faced
knight	mailed
knights	cast
knights	constrained
knights	cut
knights	escape
knights	exhausted
knights	exterminated
knights	fighting
knights	forcing
knights	left
knights	restrain
knights	sent
knights	weighed
knives	armed
lake	pushed
lance	break
lance	carried
lance	contend
lance	followed
lancers	mailed
lancers	placed
lancers	supported
lancers	wedged
lances	brought
lances	flanked
lances	held
lances	lay
land	burn
land	conquered
land	differ
land	found
land	rode
landsknechts	armed
landsknechts	bore
landsknechts	defeats
landsknechts	give
landsknechts	kept
landsknechts	lost
landsknechts	took
landsknechts	turn
landsknechts	wore
lane	lay
leader	intended
leader	surrounding
leaders	appointed
leaders	arrived
leaders	attached
leaders	determined
leaders	dismounted
leaders	falls
leaders	induce
leaders	led
leaders	obliged
leaders	present
leaders	reach
leaders	required
leaders	threw
left	passes
left	placed
left	suffered
legionaries	furnish
legionaries	wore
legions	flanked
leisure	surround
length	added
lesson	learn
lesson	realized
lesson	serve
lesson	thrown
lessons	disregarded
letters	addressing
levies	arrived
levies	distancing
levies	waiting
levy	formed
life	lost
likeness	bore
limit	reached
limits	furnished
line	approach
line	arranged
line	break
line	broken
line	charged
line	closing
line	consists
line	dashed
line	drawn
line	fell
line	formed
line	furnish
line	marched
line	massed
line	place
line	planted
line	presented
line	projected
line	represented
line	repulsed
line	stationed
line	take
line	thundered
line	try
line	â
lines	appeared
lines	drag
lines	drawn
lines	placed
lines	reorganized
lives	â
long-bow	begins
long-bow	employed
long-bow	find
long-bow	owes
long-bow	retained
lords	affronted
lords	ended
lords	form
lords	presumed
machines	filled
machines	inspired
magyars	denotes
mail	wore
majority	considered
mallets	secured
man	escaped
man	fell
man	fighting
man	gave
man	handle
man	mounted
man	sit
man	turned
manner	act
manuscript	illuminated
manå	meant
manå	repeated
manå	succeed
march	arrest
march	executed
march	pronounce
mark	left
mark	presented
marsh	selected
marsh	turning
marshals	determined
mass	arranged
mass	charging
mass	failed
mass	gave
masses	called
masses	charged
masses	come
masses	dashed
masses	engaged
masses	form
masses	formed
masses	glided
masses	launch
masses	lay
masses	met
masses	pass
masses	pierced
masses	rallied
masses	retreating
masses	rushed
masses	threw
masses	turned
masters	dispute
masters	recognize
mastersâ	meddle
match	proved
match	resembled
material	considered
matters	working
maupertuis	given
maxim	pursued
meal	halting
means	keep
measures	keep
mediã	dealing
mediã	designed
men	assumed
men	avoided
men	bound
men	called
men	carry
men	chosen
men	come
men	compelled
men	consist
men	consisted
men	dashed
men	declined
men	disable
men	drew
men	drove
men	enabled
men	enlisted
men	executed
men	face
men	faced
men	falling
men	fight
men	find
men	found
men	gave
men	led
men	left
men	lost
men	mounted
men	moved
men	mustering
men	muzzles
